Header:,Date,Time,Program:MainProgram\WidgetNumber,Program:MainProgram\WidgetScrap_BadCap,Program:MainProgram\WidgetScrap_Underfill,Program:MainProgram\WidgetScrap_BadBottle
Data,6/10/2022,12:20:02;228,8794,0,0,0
Data,6/10/2022,12:20:02;628,8795,0,0,0
Data,6/10/2022,12:20:03;028,8796,0,0,0
Data,6/10/2022,12:20:03;428,8797,0,0,0
Data,6/10/2022,12:20:03;828,8798,0,1,0
Data,6/10/2022,12:20:04;228,8799,0,0,0
Data,6/10/2022,12:20:04;628,8800,0,0,0
Data,6/10/2022,12:20:05;028,8801,0,0,0
Data,6/10/2022,12:20:05;428,8802,0,0,0
Data,6/10/2022,12:20:05;828,8803,0,0,0
Data,6/10/2022,12:20:06;228,8804,0,0,0
Data,6/10/2022,12:20:06;628,8805,0,0,0
Data,6/10/2022,12:20:07;028,8806,0,1,0
Data,6/10/2022,12:20:07;428,8807,0,0,0
Data,6/10/2022,12:20:07;828,8808,0,0,0
Data,6/10/2022,12:20:08;228,8809,0,0,0
Data,6/10/2022,12:20:08;628,8810,0,1,0
Data,6/10/2022,12:20:09;028,8811,0,0,0
Data,6/10/2022,12:20:09;428,8812,0,0,0
Data,6/10/2022,12:20:09;828,8813,0,0,0
Data,6/10/2022,12:20:10;228,8814,0,0,0
Data,6/10/2022,12:20:10;628,8815,0,0,0
Data,6/10/2022,12:20:11;028,8816,0,0,0
Data,6/10/2022,12:20:11;428,8817,0,0,0
Data,6/10/2022,12:20:11;828,8818,0,0,0
Data,6/10/2022,12:20:12;228,8819,0,0,0
Data,6/10/2022,12:20:12;628,8820,0,0,0
Data,6/10/2022,12:20:13;028,8821,0,0,0
Data,6/10/2022,12:20:13;428,8822,0,1,0
Data,6/10/2022,12:20:13;828,8823,0,0,0
Data,6/10/2022,12:20:14;228,8824,0,0,0
Data,6/10/2022,12:20:14;628,8825,0,0,0
Data,6/10/2022,12:20:15;028,8826,0,0,0
Data,6/10/2022,12:20:15;428,8827,0,0,0
Data,6/10/2022,12:20:15;828,8828,0,0,0
Data,6/10/2022,12:20:16;228,8829,0,0,0
Data,6/10/2022,12:20:16;628,8830,0,0,0
Data,6/10/2022,12:20:17;028,8831,0,0,0
Data,6/10/2022,12:20:17;428,8832,0,0,0
Data,6/10/2022,12:20:17;828,8833,0,0,0
Data,6/10/2022,12:20:18;228,8834,0,0,0
Data,6/10/2022,12:20:18;628,8835,0,0,0
Data,6/10/2022,12:20:19;028,8836,0,0,0
Data,6/10/2022,12:20:19;428,8837,0,0,0
Data,6/10/2022,12:20:19;828,8838,0,1,0
Data,6/10/2022,12:20:20;228,8839,0,0,0
Data,6/10/2022,12:20:20;628,8840,0,0,0
Data,6/10/2022,12:20:21;028,8841,0,0,0
Data,6/10/2022,12:20:21;428,8842,0,0,0
Data,6/10/2022,12:20:21;828,8843,0,0,0
Data,6/10/2022,12:20:22;228,8844,0,0,0
Data,6/10/2022,12:20:22;628,8845,0,1,0
Data,6/10/2022,12:20:23;028,8846,0,0,0
Data,6/10/2022,12:20:23;428,8847,0,0,0
Data,6/10/2022,12:20:23;828,8848,0,0,0
Data,6/10/2022,12:20:24;228,8849,1,0,0
Data,6/10/2022,12:20:24;628,8850,0,0,0
Data,6/10/2022,12:20:25;028,8851,0,0,0
Data,6/10/2022,12:20:25;428,8852,0,1,0
Data,6/10/2022,12:20:25;828,8853,0,0,0
Data,6/10/2022,12:20:26;228,8854,0,1,0
Data,6/10/2022,12:20:26;628,8855,0,0,0
Data,6/10/2022,12:20:27;028,8856,0,0,0
Data,6/10/2022,12:20:27;428,8857,0,0,0
Data,6/10/2022,12:20:27;828,8858,0,0,0
Data,6/10/2022,12:20:28;228,8859,0,0,0
Data,6/10/2022,12:20:28;628,8860,0,0,0
Data,6/10/2022,12:20:29;028,8861,0,0,0
Data,6/10/2022,12:20:29;428,8862,0,0,0
Data,6/10/2022,12:20:29;828,8863,0,0,0
Data,6/10/2022,12:20:30;228,8864,0,0,0
Data,6/10/2022,12:20:30;628,8865,0,0,0
Data,6/10/2022,12:20:31;028,8866,0,0,0
Data,6/10/2022,12:20:31;428,8867,0,0,0
Data,6/10/2022,12:20:31;828,8868,0,0,0
Data,6/10/2022,12:20:32;228,8869,0,0,0
Data,6/10/2022,12:20:32;628,8870,0,0,0
Data,6/10/2022,12:20:33;028,8871,0,0,0
Data,6/10/2022,12:20:33;428,8872,0,0,0
Data,6/10/2022,12:20:33;828,8873,0,0,0
Data,6/10/2022,12:20:34;228,8874,0,0,0
Data,6/10/2022,12:20:34;628,8875,0,0,0
Data,6/10/2022,12:20:35;028,8876,0,0,0
Data,6/10/2022,12:20:35;428,8877,0,0,0
Data,6/10/2022,12:20:35;828,8878,0,0,0
Data,6/10/2022,12:20:36;228,8879,0,1,0
Data,6/10/2022,12:20:36;628,8880,0,0,0
Data,6/10/2022,12:20:37;028,8881,0,0,0
Data,6/10/2022,12:20:37;428,8882,0,0,0
Data,6/10/2022,12:20:37;828,8883,0,0,0
Data,6/10/2022,12:20:38;228,8884,0,0,0
Data,6/10/2022,12:20:38;628,8885,0,0,1
Data,6/10/2022,12:20:39;028,8886,0,0,0
Data,6/10/2022,12:20:39;428,8887,0,0,0
Data,6/10/2022,12:20:39;828,8888,0,0,0
Data,6/10/2022,12:20:40;228,8889,0,0,0
Data,6/10/2022,12:20:40;628,8890,0,0,0
Data,6/10/2022,12:20:41;028,8891,0,0,0
Data,6/10/2022,12:20:41;428,8892,0,0,0
Data,6/10/2022,12:20:41;828,8893,0,0,0
Data,6/10/2022,12:20:42;228,8894,0,1,0
Data,6/10/2022,12:20:42;628,8895,0,0,0
Data,6/10/2022,12:20:43;028,8896,0,0,0
Data,6/10/2022,12:20:43;428,8897,1,0,0
Data,6/10/2022,12:20:43;828,8898,0,0,0
Data,6/10/2022,12:20:44;228,8899,0,0,0
Data,6/10/2022,12:20:44;628,8900,0,0,0
Data,6/10/2022,12:20:45;028,8901,0,0,0
Data,6/10/2022,12:20:45;428,8902,0,0,0
Data,6/10/2022,12:20:45;828,8903,0,0,0
Data,6/10/2022,12:20:46;228,8904,0,1,0
Data,6/10/2022,12:20:46;628,8905,0,0,0
Data,6/10/2022,12:20:47;028,8906,0,0,0
Data,6/10/2022,12:20:47;428,8907,0,0,0
Data,6/10/2022,12:20:47;828,8908,0,0,0
Data,6/10/2022,12:20:48;228,8909,0,0,0
Data,6/10/2022,12:20:48;628,8910,0,1,0
Data,6/10/2022,12:20:49;028,8911,0,0,0
Data,6/10/2022,12:20:49;428,8912,0,0,0
Data,6/10/2022,12:20:49;828,8913,0,0,0
Data,6/10/2022,12:20:50;228,8914,0,0,0
Data,6/10/2022,12:20:50;628,8915,0,0,0
Data,6/10/2022,12:20:51;028,8916,0,0,0
Data,6/10/2022,12:20:51;428,8917,0,0,0
Data,6/10/2022,12:20:51;828,8918,0,0,0
Data,6/10/2022,12:20:52;228,8919,0,0,0
Data,6/10/2022,12:20:52;628,8920,0,0,0
Data,6/10/2022,12:20:53;028,8921,0,1,0
Data,6/10/2022,12:20:53;428,8922,0,0,0
Data,6/10/2022,12:20:53;828,8923,0,0,0
Data,6/10/2022,12:20:54;228,8924,0,0,0
Data,6/10/2022,12:20:54;628,8925,0,0,0
Data,6/10/2022,12:20:55;028,8926,0,0,0
