Header:,Date,Time,Program:MainProgram\WidgetNumber,Program:MainProgram\WidgetScrap_BadCap,Program:MainProgram\WidgetScrap_Underfill,Program:MainProgram\WidgetScrap_BadBottle
Data,6/10/2022,11:49:36;972,5729,0,0,0
Data,6/10/2022,11:49:37;572,5730,0,0,0
Data,6/10/2022,11:49:38;172,5731,1,0,0
Data,6/10/2022,11:49:38;772,5732,0,0,0
Data,6/10/2022,11:49:39;372,5733,0,0,0
Data,6/10/2022,11:49:39;972,5734,0,0,0
Data,6/10/2022,11:49:40;572,5735,0,0,0
Data,6/10/2022,11:49:41;172,5736,0,0,0
Data,6/10/2022,11:49:41;772,5737,0,0,0
Data,6/10/2022,11:49:42;372,5738,0,0,0
Data,6/10/2022,11:49:42;972,5739,0,0,0
Data,6/10/2022,11:49:43;572,5740,0,0,0
Data,6/10/2022,11:49:44;172,5741,0,0,0
Data,6/10/2022,11:49:44;772,5742,0,0,0
Data,6/10/2022,11:49:45;372,5743,0,0,0
Data,6/10/2022,11:49:45;972,5744,0,0,0
Data,6/10/2022,11:49:46;572,5745,0,0,0
Data,6/10/2022,11:49:47;172,5746,0,0,0
Data,6/10/2022,11:49:47;772,5747,0,0,0
Data,6/10/2022,11:49:48;372,5748,0,0,0
Data,6/10/2022,11:49:48;972,5749,0,0,1
Data,6/10/2022,11:49:49;572,5750,0,0,0
Data,6/10/2022,11:49:50;172,5751,0,0,0
Data,6/10/2022,11:49:50;772,5752,0,1,0
Data,6/10/2022,11:49:51;372,5753,0,0,0
Data,6/10/2022,11:49:51;972,5754,0,0,0
Data,6/10/2022,11:49:52;572,5755,0,0,0
Data,6/10/2022,11:49:53;172,5756,0,0,0
Data,6/10/2022,11:49:53;772,5757,0,0,0
Data,6/10/2022,11:49:54;372,5758,0,0,0
Data,6/10/2022,11:49:54;972,5759,0,1,0
Data,6/10/2022,11:49:55;572,5760,0,0,0
Data,6/10/2022,11:49:56;172,5761,0,0,0
Data,6/10/2022,11:49:56;772,5762,0,0,0
