Header:,Date,Time,Program:MainProgram\Sealer1UseCount.ACC,Program:MainProgram\BadSeal1,Program:MainProgram\Seal1Temp
Data,6/22/2022,16:41:17;808,1780,0,214
Data,6/22/2022,16:41:18;308,1780,0,314
Data,6/22/2022,16:41:18;808,1780,0,414
Data,6/22/2022,16:41:19;308,1780,0,429
Data,6/22/2022,16:41:19;808,1780,0,411
Data,6/22/2022,16:41:20;308,1780,0,391
Data,6/22/2022,16:41:20;808,1780,0,371
Data,6/22/2022,16:41:21;308,1780,0,351
Data,6/22/2022,16:41:21;808,1780,0,331
Data,6/22/2022,16:41:22;308,1780,0,311
Data,6/22/2022,16:41:22;808,1780,0,291
Data,6/22/2022,16:41:23;308,1780,0,271
Data,6/22/2022,16:41:23;808,1780,0,251
Data,6/22/2022,16:41:24;308,1780,0,231
Data,6/22/2022,16:41:24;808,1780,0,211
Data,6/22/2022,16:41:25;308,1780,0,191
Data,6/22/2022,16:41:25;808,1780,0,171
Data,6/22/2022,16:41:26;308,1780,0,151
Data,6/22/2022,16:41:26;808,1781,0,245
Data,6/22/2022,16:41:27;308,1781,0,345
Data,6/22/2022,16:41:27;808,1781,0,425
Data,6/22/2022,16:41:28;308,1781,0,420
Data,6/22/2022,16:41:28;808,1781,0,400
Data,6/22/2022,16:41:29;308,1781,0,380
Data,6/22/2022,16:41:29;808,1781,0,360
Data,6/22/2022,16:41:30;308,1781,0,340
Data,6/22/2022,16:41:30;808,1781,0,320
Data,6/22/2022,16:41:31;308,1781,0,300
Data,6/22/2022,16:41:31;808,1781,0,280
Data,6/22/2022,16:41:32;308,1781,0,260
Data,6/22/2022,16:41:32;808,1781,0,240
Data,6/22/2022,16:41:33;308,1781,0,220
Data,6/22/2022,16:41:33;808,1781,0,200
Data,6/22/2022,16:41:34;308,1781,0,180
Data,6/22/2022,16:41:34;808,1781,0,160
Data,6/22/2022,16:41:35;308,1782,0,158
Data,6/22/2022,16:41:35;808,1782,0,258
Data,6/22/2022,16:41:36;308,1782,0,358
Data,6/22/2022,16:41:36;808,1782,1,428
Data,6/22/2022,16:41:37;308,1782,1,421
Data,6/22/2022,16:41:37;808,1782,1,401
Data,6/22/2022,16:41:38;308,1782,1,381
Data,6/22/2022,16:41:38;808,1782,1,361
Data,6/22/2022,16:41:39;308,1782,1,341
Data,6/22/2022,16:41:39;808,1782,1,321
Data,6/22/2022,16:41:40;308,1782,1,301
Data,6/22/2022,16:41:40;808,1782,1,281
Data,6/22/2022,16:41:41;308,1782,1,261
Data,6/22/2022,16:41:41;808,1782,1,241
Data,6/22/2022,16:41:42;308,1782,1,221
Data,6/22/2022,16:41:42;808,1782,1,201
Data,6/22/2022,16:41:43;308,1782,1,181
Data,6/22/2022,16:41:43;808,1782,1,161
Data,6/22/2022,16:41:44;308,1783,0,189
Data,6/22/2022,16:41:44;808,1783,0,289
Data,6/22/2022,16:41:45;308,1783,0,389
Data,6/22/2022,16:41:45;808,1783,0,429
Data,6/22/2022,16:41:46;308,1783,0,416
Data,6/22/2022,16:41:46;808,1783,0,396
Data,6/22/2022,16:41:47;308,1783,0,376
Data,6/22/2022,16:41:47;808,1783,0,356
Data,6/22/2022,16:41:48;308,1783,0,336
Data,6/22/2022,16:41:48;808,1783,0,316
Data,6/22/2022,16:41:49;308,1783,0,296
Data,6/22/2022,16:41:49;808,1783,0,276
Data,6/22/2022,16:41:50;308,1783,0,256
Data,6/22/2022,16:41:50;808,1783,0,236
Data,6/22/2022,16:41:51;308,1783,0,216
Data,6/22/2022,16:41:51;808,1783,0,196
Data,6/22/2022,16:41:52;308,1783,0,176
Data,6/22/2022,16:41:52;808,1783,0,156
Data,6/22/2022,16:41:53;308,1784,0,214
Data,6/22/2022,16:41:53;808,1784,0,314
Data,6/22/2022,16:41:54;308,1784,0,414
Data,6/22/2022,16:41:54;808,1784,0,429
Data,6/22/2022,16:41:55;308,1784,0,411
Data,6/22/2022,16:41:55;808,1784,0,391
Data,6/22/2022,16:41:56;308,1784,0,371
Data,6/22/2022,16:41:56;808,1784,0,351
Data,6/22/2022,16:41:57;308,1784,0,331
Data,6/22/2022,16:41:57;808,1784,0,311
Data,6/22/2022,16:41:58;308,1784,0,291
Data,6/22/2022,16:41:58;808,1784,0,271
Data,6/22/2022,16:41:59;308,1784,0,251
Data,6/22/2022,16:41:59;808,1784,0,231
Data,6/22/2022,16:42:00;308,1784,0,211
Data,6/22/2022,16:42:00;808,1784,0,191
Data,6/22/2022,16:42:01;308,1784,0,171
Data,6/22/2022,16:42:01;808,1784,0,151
Data,6/22/2022,16:42:02;308,1785,0,233
