Financial Year,Area Code,Glass,Metal,Paper,Plastic,Compost,Electrical Goods,Construction Demolition,Textiles,Wood,Other
2016/17,95AA,140.3,180.7,108.2,29,2098.5,131.3,3159.1,46.5,773,62.4
2016/17,95AA,68.7,58.1,43.4,15.1,1357.3,260.9,586.7,6.2,347.2,16.4
2016/17,95AA,70.8,85.4,52.2,0,845.6,118.1,312.3,17.3,384.9,19.9
2016/17,95BB,49.72,72.67,31.21,0,223,91.61,0,5.45,168.76,17.98
2016/17,95BB,61.87,0.57,29.84,0,296,50.37,0,6.86,0,6.47
2016/17,95BB,23.64,42.98,12.22,0,198,68.91,0,3.24,92.82,12.1
2016/17,95BB,24.42,38.37,18.32,0,272,49.86,0,3.96,92.58,7.69
2016/17,95BB,60.78,50.45,33.1,0,309,119.17,0,5.74,191.2,18.34
2016/17,95BB,140.83,89.93,53.24,0,742,268.59,0,15.3,344.4,40.3
2016/17,95BB,70.66,93.27,36.67,0,433,124.86,0,11.08,190.42,24.66
2016/17,95CC,30.465,37.791,74.887,6.532,211.98,34.143,0,0,106.21,8.502
2016/17,95CC,85.674,135.874,341.565,49.326,713.965,185.554,1032.32,0,461.74,41.744
2016/17,95CC,15.78,29.276,96.588,4.576,162.225,46.168,0,0,70.006,9.919
2016/17,95CC,24.382,28.381,65.527,2.467,205.252,40.263,0,0,90.16,3.813
2016/17,95DD,0,43.435,81.28,0,315.48,133.881,248.265,0,194.73,6.044
2016/17,95DD,0,125.765,113.6,0,1045.13,211.774,699.415,0,384.9,10.97
2016/17,95EE,21.9,58.71,46.44,0,602.46,91.75,0,10.97,181.68,21.19
2016/17,95EE,4.83,29.36,15.85,0,301.22,70.74,366.34,1.23,90.84,16.09
2016/17,95FF,139.07,105.26,245.916,56.866,1034.655,182.164,513.93,22.961,149.55,22.351
2016/17,95FF,83.434,63.156,146.568,18.783,620.793,108.195,308.358,13.667,89.73,13.41
2016/17,95FF,55.626,42.104,97.712,12.522,413.862,72.129,205.572,9.111,59.82,8.941
2016/17,95GG,55.48,65.27,7.8,0.8,0,0,0,7.07,40,0.09
2016/17,95GG,240.29,183.21,218,25.35,884.74,407.5,7.13,43.98,1065.94,58.17
2016/17,95GG,313.86,183.89,182.47,22.15,742.4,351.21,8.28,49.64,935.46,56.58
2016/17,95GG,240.03,128.44,155.64,22.07,707.96,295.76,6.77,34.72,741.97,33.21
2016/17,95GG,257.41,248.31,299.36,22.77,905.9,394.1,13.55,58.94,989.22,66.46
2016/17,95GG,42.95,43.04,46.31,1.2,46.92,0,0,9.34,65,0
2016/17,95HH,11.088,132.16,58.308,0,458.24,250.606,1886.82,0,800.41,60.4
2016/17,95II,109.31,58.45,105.51,2.54,0,104.14,0,15.77,0,15.97
2016/17,95II,71.88,126.95,157.89,5.34,976.22,208.82,787.96,17.35,417.78,42.77
2016/17,95JJ,29.906,18.72,24.247,0.146,341.964,44.355,0,3.751,85.56,13.701
2016/17,95JJ,15.582,35.096,16.012,0,358.838,29.512,0,4.727,71.608,6.187
2016/17,95JJ,16.404,87.994,51.1,0,1111.995,196.305,0,12.353,338.18,36.225
2016/17,95JJ,9.192,18.448,18.391,0,695.386,72.435,0,8.406,115.16,11.439
2016/17,95JJ,13.839,17.636,22.481,0,651.544,27.844,0,4.276,68.172,5.6
2016/17,95JJ,19.695,44.386,32.649,0,876.144,60.399,0,7.449,155.32,11.731
2016/17,95KK,25.573,40.591,82.457,0,737.984,67.596,168.706,9.156,169.22,69.373
2016/17,95KK,55.471,89.153,113.548,70.32,1106.986,149.273,756.046,23.398,253.84,254.184
2016/17,95LL,80.18,174.14,122.42,121.69,1339.94,305.5,292.04,25.73,492.11,43.249
2016/17,95LL,131.86,258.89,135.85,121.09,1449.92,436.545,292.04,40.245,635.73,81.575
2016/17,95MM,4.905,33.672,34.7,0,141.24,79.116,383.2,3.18,138.93,25.864
2016/17,95MM,4.93,7.638,18.2,0,90.84,10.629,75.04,2.071,31.24,8.202
2016/17,95MM,6.715,10.97,39.75,0,118.63,29.136,85.04,3.541,49.44,21.868
2016/17,95MM,83.637,130.836,180.141,0,958.95,320.645,1101.34,14.139,520.08,162.116
2016/17,95MM,29.57,72.535,96.353,0,0,129.202,0,6.527,0,53.312
2016/17,95MM,45.314,54.282,73.837,0,265.4,192.919,364.77,8.877,199.91,60.676
2016/17,95MM,14.261,27.16,6.32,0,0,35.346,0,3.201,2.34,19.426
2016/17,95NN,97.954,82.123,54.068,0,522.34,173.06,0,13.634,250.53,25.43
2016/17,95NN,84.991,87.051,10.793,0,415.46,212.619,0,7.954,253.73,20
2016/17,95NN,45.571,64.21,30.487,0,398.36,113.735,0,3.006,166.7,15.534
2016/17,95OO,42.74,44.07,58.95,19.88,898.86,41.511,0,6.463,262.88,19.07
2016/17,95OO,58.58,111.99,106.32,37.15,898.86,163.851,44.82,17.089,319.88,29.66
2016/17,95OO,14.92,21.75,1.56,6.992,218.65,41.948,0,4.56,102.3,7.11
2016/17,95OO,12.5,9.3,18.42,4.03,218.65,24.792,0,1.374,58.84,4.49
2016/17,95OO,14.17,3.68,0,6.24,194.35,44.09,0,3.152,35.66,1.52
2016/17,95PP,0,139.14,1.46,77.06,974.323,136.667,13.94,11.846,360.998,148.372
2016/17,95PP,2.966,29.113,0,43.32,302.019,53.367,0,7.8,101.093,80.078
2016/17,95PP,0,6,0.094,12.06,117.992,25.83,0,2.94,39.262,27.543
2016/17,95PP,0,8,0,19.12,137.747,14.041,0,2.7,47.783,28.522
2016/17,95PP,0,7,0,14.89,102.81,23.822,0,3.388,32.755,31.182
2016/17,95PP,0,4,0,7.73,75.261,6.789,0,1.404,25.756,16.328
2016/17,95PP,2.801,29,0,43.32,306.519,65.811,0,7.8,106.055,83.538
2016/17,95PP,0,0.137,0,11.79,0,22.615,0,1.484,0,23.542
2016/17,95PP,1.124,13.114,0,21.95,164.697,30.815,0,3.85,49.914,38.517
2016/17,95PP,0,5,0,10.56,0,16.173,0,2.048,0,20.72
2016/17,95PP,0,8,0,19.46,135.752,24.988,0,3.5,39.262,32.32
2016/17,95QQ,66.24,176.79,156.62,3.48,988.9,285.02,1230.69,24.41,622.98,60.93
2016/17,95QQ,3.13,23.19,14.19,0,82.12,32.274,45.1,1.6,57.44,5.99
2016/17,95QQ,11.83,46.32,43.06,0.62,233.56,53.65,109.08,5.96,85.56,9.6
2016/17,95RR,9.78,0,0,0,0,23.664,0,6.269,0,7.758
2016/17,95RR,28.588,50.888,349.13,123.95,910.13,166.107,1050.33,9.999,278.61,39.896
2016/17,95SS,225.745,350.266,148.201,41.306,1031.13,747.806,1666.82,64.28,1191.11,98.252
2016/17,95SS,45.632,48.701,32.65,0.234,573.22,96.395,249.28,4.915,139.12,62.579
2016/17,95TT,17.522,27.113,57.82,0,419.82,66.717,194.42,3.976,106.96,13.028
2016/17,95TT,9.027,27.052,16.509,0.44,419.853,53.448,146.16,2.408,106.96,10.72
2016/17,95TT,10.654,26.93,14.78,0.18,419.82,36.251,144.86,3.202,106.96,17.158
2016/17,95TT,84.8,53.68,117.58,17.54,839.72,126.199,615.26,14.08,213.94,51.387
2016/17,95UU,5.016,49.92,0,0,573.41,84.192,8.96,3.27,124.84,24.33
2016/17,95VV,3.14,2.35,4.94,0,1.08,7.77,0,1.66,5.94,0
2016/17,95VV,11.21,23.61,15.76,8.944,79.61,29.03,0,3.2,15.66,0.61
2016/17,95VV,19.36,29.53,26.86,15.477,97.96,38.47,0,2.2,55.18,0.9
2016/17,95VV,69.28,67.62,125.6,26.06,530.88,111.12,0,13.12,178.02,37.74
2016/17,95VV,53.31,40.78,99.2,16.935,429.85,69.94,0,9.37,152.74,1.47
2016/17,95VV,32.76,69.58,72.73,21.092,373.28,111.31,0,9.51,166.49,26.16
2016/17,95VV,30.34,59.51,75.01,5.862,382.03,112.14,0.96,8.49,189.56,31.39
2016/17,95VV,28.36,40.76,48.82,1.66,392.27,73.6,5.28,3.85,133.24,18.32
2016/17,95WW,86.39,390.41,359.92,49.9,2299.28,638.82,877.92,51.24,1071.23,86.98
2016/17,95XX,180.674,52.656,67.236,1.325,800.16,128.924,0,23.307,194.8,19.242
2016/17,95XX,222.06,449.374,202.24,93.064,2374.15,594.873,3495.187,51.32,1821.4,84.382
2016/17,95YY,20.169,15.1,22.817,0,69.74,23.882,0,1.871,50.44,5.538
2016/17,95YY,105.045,177.58,397.38,98.56,1378.8,266.456,614.14,44.12,409.42,288.855
2016/17,95YY,18.062,7.569,24.646,0,54.08,25.119,0,3.529,42.22,5.652
2016/17,95YY,18.391,51.561,13.02,30.94,141.84,59.537,0,7.011,122.72,46.872
2016/17,95ZZ,3.98,22.57,4.28,0,80.19,36.39,5.84,1.24,65.98,4.6
2016/17,95ZZ,19.06,18.25,18.31,0,579.08,81.865,2.34,2.46,188.14,32.91
2016/17,95ZZ,28.26,15.33,4.08,0,86.95,20.54,4.8,4.34,51.23,10.92
2016/17,95ZZ,5.49,4.06,1.58,0,31.74,12.84,2.73,1.27,20.73,2.75
2016/17,95ZZ,12.78,15.05,5.67,0,98.81,24.82,5.01,1.38,104.38,6.01
2017/18,95AA,137.5,191.6,128.6,73.2,2194.8,149.2,2986.2,155.4,930.1,81.3
2017/18,95AA,74.2,62.8,51.1,34.9,1267.1,210.1,714.3,6.5,377.9,14
2017/18,95AA,64.3,106.7,46.2,0,1343.2,128.2,372.6,18.1,459.1,18
2017/18,95BB,38.48,67.24,32.49,0,240,95.73,0,3.92,202.21,9.46
2017/18,95BB,52.71,0.54,30.79,0,310,47.86,0,5.84,0,4.31
2017/18,95BB,21.17,55.14,17.91,0,215,67.46,0,2.7,152.71,7.15
2017/18,95BB,20.79,36.48,25.09,0,268,48.76,0,2.88,122.58,5.26
2017/18,95BB,63.14,84.57,36.04,0,323,114.65,0,2.56,192.39,12.5
2017/18,95BB,126.22,147.12,67.98,0,776,238.66,0,12.49,425.81,29.55
2017/18,95BB,62.06,71.69,41.37,0,452,110.42,0,6.03,200.75,17.58
2017/18,95CC,29.994,33.049,77.542,6.849,203.011,47.142,0,0,106.01,8.299
2017/18,95CC,85.432,159.988,325.182,114.11,760.95,207.411,890.52,0,425.41,48.374
2017/18,95CC,14.571,31.946,87.91,4.501,129.745,42.737,0,0,57.96,7.117
2017/18,95CC,25.524,31.476,67.036,7.565,173.664,39.336,0,0,83.24,6.488
2017/18,95DD,0,237.041,300.49,0,661.16,346.012,1026.607,0,749.74,17.386
2017/18,95EE,12.57,67.59,50.8,0,608.54,95.17,0,10.63,166.84,20.31
2017/18,95EE,5.53,33.81,13.38,0,304.27,64.18,258.68,1.46,83.42,15.61
2017/18,95FF,92.76,111.87,215.215,41.131,1031.25,188.28,480.36,23.104,177.24,24.983
2017/18,95FF,46.656,67.122,128.781,23.333,618.75,112.968,288.216,13.862,106.344,14.018
2017/18,95FF,31.104,44.748,85.854,15.458,412.5,75.311,192.144,9.242,70.896,9.345
2017/18,95GG,13.93,45.07,29.49,0.44,0,0,0,5.25,0,0
2017/18,95GG,273.45,367.79,321.86,114.18,1057.89,304.88,21.95,44.43,1034.73,51.24
2017/18,95GG,236.44,317.74,224.16,60.9,662.96,281.12,21.52,53.06,865.36,42.59
2017/18,95GG,225.42,445.87,294.23,93.72,1343.66,330.41,21.84,68.05,906.11,52.91
2017/18,95GG,271.38,425.34,301.11,87.3,776.82,272.13,16,70.99,810.6,43.81
2017/18,95GG,37.94,41.23,40.96,0.44,67.46,0,0,10.01,0,0
2017/18,95HH,44.834,156.324,185.65,39.59,452.22,212.809,907.38,4.156,598.81,61.336
2017/18,95II,93.81,51.09,94.63,1.74,0,92.23,0,6.38,0,10.2
2017/18,95II,79.63,142.26,176.41,6,1121.72,172.29,988.87,8.43,443.21,50.68
2017/18,95JJ,28.817,20.475,3.598,0,365.519,37.221,0,4.088,102.55,16.738
2017/18,95JJ,14.071,37.514,11.713,0,392.603,26.251,0,4.044,108.199,8.857
2017/18,95JJ,0,95.89,15.94,0,1122.304,186.711,75.55,10.006,276.285,33.689
