Header:,Date,Time,Program:MainProgram\BagID,Program:MainProgram\ProductCode,Program:MainProgram\MaterialWeight
Data,6/29/2022,09:21:57;407,105070,220,7.9254
Data,6/29/2022,09:21:57;932,105071,220,8.0304
Data,6/29/2022,09:21:58;457,105072,220,7.9132
Data,6/29/2022,09:21:58;982,105073,220,8.0182
Data,6/29/2022,09:21:59;507,105074,220,7.901
Data,6/29/2022,09:22:00;032,105075,220,8.006001
Data,6/29/2022,09:22:00;557,105076,220,8.111
Data,6/29/2022,09:22:01;082,105077,220,7.9938
Data,6/29/2022,09:22:01;607,105078,220,8.0988
Data,6/29/2022,09:22:02;132,105079,220,7.9816
Data,6/29/2022,09:22:02;657,105080,220,8.0866
Data,6/29/2022,09:22:03;182,105081,220,7.9694
Data,6/29/2022,09:22:03;707,105082,220,8.0744
Data,6/29/2022,09:22:04;232,105083,220,7.9572
Data,6/29/2022,09:22:04;757,105084,220,8.062201
Data,6/29/2022,09:22:05;282,105085,220,7.945
Data,6/29/2022,09:22:05;807,105086,220,8.05
Data,6/29/2022,09:22:06;332,105087,220,7.9328
Data,6/29/2022,09:22:06;857,105088,220,8.0378
Data,6/29/2022,09:22:07;382,105089,220,7.9206
Data,6/29/2022,09:22:07;907,105090,220,8.0256
Data,6/29/2022,09:22:08;432,105091,220,7.9084
Data,6/29/2022,09:22:08;957,105092,220,8.0134
Data,6/29/2022,09:22:09;482,105093,220,8.118401
Data,6/29/2022,09:22:10;007,105094,220,8.0012
Data,6/29/2022,09:22:10;532,105095,220,8.1062
Data,6/29/2022,09:22:11;057,105096,220,7.989
Data,6/29/2022,09:22:11;582,105097,220,8.094
Data,6/29/2022,09:22:12;107,105098,220,7.9768
Data,6/29/2022,09:22:12;632,105099,220,8.0818
Data,6/29/2022,09:22:13;157,105100,220,7.9646
Data,6/29/2022,09:22:13;682,105101,220,8.0696
Data,6/29/2022,09:22:14;207,105102,220,7.9524
Data,6/29/2022,09:22:14;732,105103,220,8.0574
Data,6/29/2022,09:22:15;257,105104,220,7.9402
Data,6/29/2022,09:22:15;782,105105,220,8.0452
Data,6/29/2022,09:22:16;307,105106,220,7.928
Data,6/29/2022,09:22:16;832,105107,220,8.033
Data,6/29/2022,09:22:17;357,105108,220,7.9158
Data,6/29/2022,09:22:17;882,105109,220,8.0208
Data,6/29/2022,09:22:18;407,105110,220,7.9036
