Header:,Date,Time,Program:MainProgram\BagID,Program:MainProgram\ProductCode,Program:MainProgram\MaterialWeight
Data,6/29/2022,09:33:59;710,106402,230,11.951799
Data,6/29/2022,09:34:00;650,106403,230,11.9176
Data,6/29/2022,09:34:01;590,106404,230,12.105599
Data,6/29/2022,09:34:02;530,106405,230,12.0714
Data,6/29/2022,09:34:03;470,106406,230,12.0372
Data,6/29/2022,09:34:04;410,106407,230,12.002999
Data,6/29/2022,09:34:05;350,106408,230,11.9688
Data,6/29/2022,09:34:06;290,106409,230,11.9346
Data,6/29/2022,09:34:07;230,106410,230,11.900399
Data,6/29/2022,09:34:08;170,106411,230,12.0884
Data,6/29/2022,09:34:09;110,106412,230,12.054199
Data,6/29/2022,09:34:10;050,106413,230,12.02
Data,6/29/2022,09:34:10;990,106414,230,11.9858
Data,6/29/2022,09:34:11;930,106415,230,11.9516
Data,6/29/2022,09:34:12;870,106416,230,11.917399
Data,6/29/2022,09:34:13;810,106417,230,12.1054
Data,6/29/2022,09:34:14;750,106418,230,12.071199
Data,6/29/2022,09:34:15;690,106419,230,12.037
Data,6/29/2022,09:34:16;630,106420,230,12.0028
Data,6/29/2022,09:34:17;570,106421,230,11.968599
Data,6/29/2022,09:34:18;510,106422,230,11.9344
Data,6/29/2022,09:34:19;450,106423,230,11.9002
Data,6/29/2022,09:34:20;390,106424,230,12.0882
Data,6/29/2022,09:34:21;330,106425,230,12.054
Data,6/29/2022,09:34:22;270,106426,230,12.019799
Data,6/29/2022,09:34:23;210,106427,230,11.9856
Data,6/29/2022,09:34:24;150,106428,230,11.9514
Data,6/29/2022,09:34:25;090,106429,230,11.9172
Data,6/29/2022,09:34:26;030,106430,230,12.1052
Data,6/29/2022,09:34:26;970,106431,230,12.070999
Data,6/29/2022,09:34:27;910,106432,230,12.036799
Data,6/29/2022,09:34:28;850,106433,230,12.0026
Data,6/29/2022,09:34:29;790,106434,230,11.9684
Data,6/29/2022,09:34:30;730,106435,230,11.934199
