Header:,Date,Time,Program:MainProgram\Motor1Current,Program:MainProgram\Motor2Current,Program:MainProgram\Motor3Current,Program:MainProgram\Motor4Current
Data,6/9/2022,18:23:01;676,16.470999,14.665,15.574999,14.167999
Data,6/9/2022,18:23:01;726,16.820999,15.014999,15.925001,14.518
Data,6/9/2022,18:23:01;776,17.171001,15.365,16.275,14.868
Data,6/9/2022,18:23:01;826,14.021,15.714999,16.625,15.218
Data,6/9/2022,18:23:01;876,14.371,16.065001,16.975,15.568
Data,6/9/2022,18:23:01;926,14.721,16.415001,17.324999,15.917999
Data,6/9/2022,18:23:01;976,15.070999,16.764999,14.224001,16.268
Data,6/9/2022,18:23:02;026,15.421,17.115,14.574,16.618
Data,6/9/2022,18:23:02;076,15.771,17.465,14.924,16.968
Data,6/9/2022,18:23:02;126,16.121,14.28,15.273999,17.318001
Data,6/9/2022,18:23:02;176,16.470999,14.629999,15.623999,14.105
Data,6/9/2022,18:23:02;226,16.820999,14.98,15.974001,14.455
Data,6/9/2022,18:23:02;276,17.171001,15.33,16.323999,14.805
Data,6/9/2022,18:23:02;326,14.021,15.68,16.674,15.155
Data,6/9/2022,18:23:02;376,14.371,16.029999,17.024,15.504999
Data,6/9/2022,18:23:02;426,14.721,16.379999,17.373999,15.855
Data,6/9/2022,18:23:02;476,15.070999,16.73,14.273001,16.205
Data,6/9/2022,18:23:02;526,15.421,17.08,14.623,16.555
Data,6/9/2022,18:23:02;576,15.771,17.43,14.973,16.904999
Data,6/9/2022,18:23:02;626,16.121,14.245001,15.322999,17.254999
Data,6/9/2022,18:23:02;676,16.470999,14.595,15.673,14.042
Data,6/9/2022,18:23:02;726,16.820999,14.945,16.023001,14.392
Data,6/9/2022,18:23:02;776,17.171001,15.295,16.372999,14.742
Data,6/9/2022,18:23:02;826,14.021,15.645,16.723,15.091999
Data,6/9/2022,18:23:02;876,14.371,15.995001,17.073002,15.442
Data,6/9/2022,18:23:02;926,14.721,16.345001,17.423,15.792
Data,6/9/2022,18:23:02;976,15.070999,16.695,14.322001,16.142
Data,6/9/2022,18:23:03;026,15.421,17.045,14.672,16.492001
Data,6/9/2022,18:23:03;076,15.771,17.395,15.021999,16.841999
Data,6/9/2022,18:23:03;126,16.121,14.21,15.372001,17.192001
Data,6/9/2022,18:23:03;176,16.470999,14.559999,15.722,17.542
Data,6/9/2022,18:23:03;226,16.820999,14.910001,16.072001,14.329
Data,6/9/2022,18:23:03;276,17.171001,15.26,16.421999,14.679001
